State,Year,PBM Protections,Contract Pharmacy Protections,Other,Reporting Requirements in 340B Protections Bill,Reporting Requirements in separate bill,Other notes,
Alabama,2021,Yes,No,,,,,
Arizona,2022,Yes,No,,,,,
Arkansas ,2021,Yes,Yes ,Same bill,,,,
California,2023,Yes,No,,,,,
Colorado,2022,Yes,Yes ,Separate bills,Y,,PBM bill came first. Contract pharmacy bill in 2025.,Signed into law 5/30/2025
Connecticut,2023,Yes ,No,,,,,
Georgia,2020,Yes,No,,,,,
Hawaii,2025,No,Yes ,,Y,,,
Illinois,2022,Yes,No,,,,,
Indiana,2021,Yes,No,,,Y,,
Iowa,2023,Yes,No,,,,,
Kansas,2024,No,Yes ,,,,,
Kentucky,2020,Yes,No,,,,,
Lousiana,2023,Yes,Yes ,Same bill,,,,
Maine,2025,No,Yes ,,Y,,,
Maryland,2024,No,Yes ,,,,,
Michigan,2022,Yes,No,,,,,
Minnesota,2019,Yes,Yes ,Separate bills,,Y,Contract Pharmacy in 2024,
Mississippi,2024,Yes,Yes ,Same bill,,,,
Missouri,2024,No ,Yes ,,,,,
Montana,2021,Yes,No,,,,,
Nebraska,2022,Yes,Yes ,Separate bills ,,,Contract Pharmacy in 2025,
Nevada,2023,Yes,No,,,,,
New Hampshire,2024,Yes ,No,,,,,
New Mexico,2023,Yes,Yes ,Separate bills,,,Contract pharmacy law only applies to CHCs,
North Carolina,2021,Yes,No,,,,,
North Dakota,2021,Yes,Yes ,Separate bills,,,Contract Pharmacy in 2025,
Ohio,2021,Yes,No,,,Y,,
Oklahoma,2025,No ,Yes ,,,,,
Oregon,2025,Yes,Yes ,Separate bills,,,"Four separate bills: 2019, 2024 and two in 2025",Contract Pharmacy bill signed into law in June 2025
Rhode Island,2025,Yes ,Yes ,Same bill,Y,,,Signed in June 2025
South Dakota,2024,Yes,Yes ,Separate Bills,,,PBM in 2019 and in 2024. Contract Pharmacy in 2025,
Tennessee,2021,Yes,Yes ,Separate bills,,,2025 contract pharmacy. Only applies to restrictions placed after 2025.,
Utah,2020,Yes,Yes ,Separate bills,,,Contract Pharmacy in 2025,
Vermont,2021,Yes,Yes ,Separate bills,,,"First PBM in 2021, Contract Pharmacy 2025.",
Virginia,2021,Yes,No,,,,,
West Virgina,2024,Yes,Yes ,Separate bills,,,"PBM in 2019 and 2021, contract pharmacy in 2024.",
,,,,,,,,
,,31,21,15 with both,,,Nine states require reporting. Two of the nine have now protection laws.,
,,,,4 in the same bill,,,,
,,,,11 in different bills,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Idaho and Washington require 340B reporting with no protection laws,,,,,,,,
"*red states were missing from graphic, notes on enactment included in column I",,,,,,,,
